"Periodo","Grado_de_presión_sobre_el_recurso_hídrico_de_las_zonas_centro_y_norte_del_país",
"2023","55.8773895875827",
"2022","56.5966897288205",
"2021","56.4184943618533",
"2020","56.2053773980805",
"2019","55.6584628388676",
"2018","55.7556431080845",
"2017","55.2561649650509",
"2016","55.2570887977515",
"2015","55.4156466919285",
"2014","54.7665213288227",
"2013","51.8616278710576",
"2012","53.1015404760427",
